 #header line: GPU processors,avg,error_bar,run1,run2,run3
 1,2.57483344666667,0.00341817,2.57696954,2.57718357,2.57034723
 4,0.64867759,0.000548780000000026,0.64816756,0.64926512,0.64860009
 8,0.323007446666667,0.000761214999999982,0.32357957,0.32205714,0.32338563
 12,0.215688123333333,0.000488799999999998,0.21555149,0.21624524,0.21526764
 16,0.168885696666667,0.001717475,0.16894262,0.17057471,0.16713976
 20,0.134153563333333,0.001559325,0.13397902,0.13580016,0.13268151
 24,0.115943,0.000712459999999998,0.11509613,0.11621182,0.11652105
 28,0.104389883333333,0.00125025,0.10395761,0.10335577,0.10585627
 32,0.110958606666667,0.00796487,0.1025486,0.11184888,0.11847834
 36,0.126834083333333,0.00707448500000001,0.131519,0.11741714,0.13156611
 40,0.11504859,0.025001465,0.10509448,0.14502711,0.09502418
 44,0.100804226666667,0.00909841500000001,0.10959396,0.09139713,0.10142159
 48,0.165330136666667,0.03052011,0.19426582,0.1332256,0.16849899
