 #header line: GPU processors,avg,error_bar,run1,run2,run3
 1,257.545686346667,0.680451945000016,257.15305463,257.06155026,258.42245415
 4,262.16737676,7.02621045499998,257.30419516,271.35661607,257.84131905
 8,260.086639706667,0.434471399999978,260.60113254,259.73218974,259.92659684
 12,260.055152343333,1.927436575,258.04933742,261.90421057,260.21190904
 16,263.224246056667,1.20453481000001,264.82987931,262.42204917,262.42080969
 20,266.56585246,1.46244328,265.56130652,265.65005778,268.48619308
 24,269.78685856,0.932484635000009,269.82799813,270.69877341,268.83380414
 28,291.909295486667,4.57508881499999,288.47654282,297.62672045,289.62462319
 32,298.508409913333,5.58960389500001,293.4772574,297.39150715,304.65646519
 36,300.51030182,5.71472138999999,297.63463662,296.23341303,307.66285581
 40,303.8605241,1.77672039999999,302.99558852,306.06971229,302.51627149
 44,305.159708226667,2.6924387,303.36026238,303.37372252,308.74513978
 48,305.80436826,1.08707332999998,307.0721362,304.89798954,305.44297904
