#threads,kernel_dim,iter1,iter2,iter3
1,11,66.6487,65.8626,66.1371
2,11,34.6525,32.6455,32.5892
3,11,22.0129,24.2259,22.1219
4,11,16.754,17.9057,16.7923
5,11,13.607,13.5952,13.6047
6,11,11.4825,11.4724,11.4824
7,11,9.97307,9.98884,9.96231
8,11,8.81942,8.83673,8.84031
9,11,7.92313,7.92286,7.92311
10,11,7.22952,7.22213,7.21871
11,11,6.64143,6.64174,6.64417
12,11,6.16294,6.16095,6.16148
13,11,5.75824,5.7659,5.76223
14,11,5.41247,5.41096,5.41211
15,11,5.13846,5.11253,5.11318
16,11,4.84969,4.85127,4.85401
17,11,4.62038,4.61929,4.64357
18,11,4.41623,4.41463,4.41448
19,11,4.22921,4.23216,4.22921
20,11,4.07123,4.08734,4.06459
21,11,3.91929,3.91479,3.91612
22,11,3.78162,3.78223,3.77881
23,11,3.66754,3.65857,3.65975
24,11,3.56402,3.55145,3.55153
1,101,5801.17,5800.35,5802.26
2,101,2904.59,2904.32,2904.33
3,101,1937.05,1937.28,1936.75
4,101,1451.74,1453.24,1452.02
5,101,1161.47,1162.87,1162.7
6,101,968.768,969.323,968.04
7,101,830.914,830.12,830.089
8,101,726.25,726.412,727.251
9,101,646.364,646.789,655.025
10,101,590.466,581.558,581.515
11,101,529.353,529.533,528.941
12,101,484.88,485.509,485.08
13,101,448.115,448.166,447.86
14,101,416.129,416.207,415.837
15,101,388.3,388.259,388.53
16,101,364.174,364.198,364.404
17,101,343.173,343.253,343.37
18,101,324.184,333.064,324.039
19,101,307.058,306.984,306.934
20,101,291.625,291.88,295.671
21,101,279.074,280.806,278.391
22,101,269.167,265.37,267.765
23,101,255.063,255.661,254.779
24,101,246.457,253.082,253.654
