#P,kernel_dim,iter1,iter2,iter3
1,11,65.734,65.7284,65.914
2,11,36.2731,37.3625,33.6782
3,11,24.4491,24.5047,24.3562
4,11,17.1104,17.2376,17.0054
5,11,13.81,13.9131,13.9884
6,11,11.6657,11.6967,11.718
7,11,10.1963,10.7865,10.4731
8,11,9.41322,9.63402,9.4176
9,11,8.95298,8.15038,8.13455
10,11,7.7148,8.30112,7.68596
11,11,8.42887,6.86303,8.06706
12,11,7.76639,6.73882,7.55946
13,11,6.1857,6.23754,6.15956
14,11,5.97992,24.6632,6.76977
15,11,6.04779,5.41658,6.00277
16,11,5.42344,5.48347,5.28139
17,11,4.80078,5.0887,4.65805
18,11,5.17809,5.04418,4.9631
19,11,5.18004,4.61087,5.02813
20,11,5.47621,4.15165,4.82787
21,11,4.65074,4.80626,4.87121
22,11,4.18745,4.58998,4.18158
23,11,4.16668,4.17266,4.33427
24,11,4.47409,3.88377,4.21041
1,101,5803.04,5804.22,5801.25
2,101,2905.94,2905.06,2906.3
3,101,1936.39,1935.96,1935.9
4,101,1452.55,1452.04,1452.04
5,101,1162.93,1162.26,1162.31
6,101,969.057,969.046,969.046
7,101,829.736,831.198,830.922
8,101,727.125,727.091,736.798
9,101,647.858,646.062,645.305
10,101,581.712,581.458,581.914
11,101,528.977,528.537,529.987
12,101,484.553,486.298,484.249
13,101,447.447,447.167,447.367
14,101,415.178,415.456,417.013
15,101,387.757,389.403,389.367
16,101,364.726,364.869,374.536
17,101,344.039,343.679,342.465
18,101,324.745,323.818,324.603
19,101,307.848,306.544,307.092
20,101,290.941,290.937,292.608
21,101,278.9,278.482,277.229
22,101,265.896,266.085,264.523
23,101,253.77,254.327,253.257
24,101,242.857,243.135,245.127
