#P,kernel_dim,iter1,iter2,iter3
1,11,65.734,65.7284,65.914
2,11,36.2731,37.3625,33.6782
3,11,24.4491,24.5047,24.3562
4,11,17.1104,17.2376,17.0054
5,11,13.81,13.9131,13.9884
6,11,11.6657,11.6967,11.718
7,11,10.1963,10.7865,10.4731
8,11,9.41322,9.63402,9.4176
9,11,8.95298,8.15038,8.13455
10,11,7.7148,8.30112,7.68596
11,11,8.42887,6.86303,8.06706
12,11,7.76639,6.73882,7.55946
13,11,6.1857,6.23754,6.15956
14,11,5.97992,24.6632,6.76977
15,11,6.04779,5.41658,6.00277
16,11,5.42344,5.48347,5.28139
17,11,4.80078,5.0887,4.65805
18,11,5.17809,5.04418,4.9631
19,11,5.18004,4.61087,5.02813
20,11,5.47621,4.15165,4.82787
21,11,4.65074,4.80626,4.87121
22,11,4.18745,4.58998,4.18158
23,11,4.16668,4.17266,4.33427
24,11,4.47409,3.88377,4.21041
1,101,5803.04,5804.22,5801.25
2,101,2905.94,2905.06,2906.3
3,101,1936.39,1935.96,1935.9
4,101,1452.55,1452.04,1452.04
5,101,1162.93,1162.26,1162.31
6,101,969.057,969.046,969.046
7,101,829.736,831.198,830.922
8,101,727.125,727.091,736.798
9,101,647.858,646.062,645.305
10,101,581.712,581.458,581.914
11,101,528.977,528.537,529.987
12,101,484.553,486.298,484.249
13,101,447.447,447.167,447.367
14,101,415.178,415.456,417.013
15,101,387.757,389.403,389.367
16,101,364.726,364.869,374.536
17,101,344.039,343.679,342.465
18,101,324.745,323.818,324.603
19,101,307.848,306.544,307.092
20,101,290.941,290.937,292.608
21,101,278.9,278.482,277.229
22,101,265.896,266.085,264.523
23,101,253.77,254.327,253.257
24,101,242.857,243.135,245.127
#P,kernel_dim,iter1,iter2,iter3
1,11,65.0237,65.0015,64.9888
2,11,34.5028,34.1905,33.0449
3,11,33.1227,23.5296,23.5569
4,11,18.3767,16.8924,18.2642
5,11,14.9805,25.3273,13.9302
6,11,21.6361,11.7498,22.1149
7,11,9.95748,19.7999,11.3405
8,11,9.40888,18.8276,9.94902
9,11,7.95009,19.5695,8.20179
10,11,7.75695,18.2853,17.7142
11,11,7.36904,22.6601,6.61286
12,11,6.23198,6.56805,17.511
13,11,5.95955,7.75188,18.2125
14,11,5.64471,5.4054,5.40346
15,11,5.88897,5.34103,21.6714
16,11,6.59465,10.537,7.72427
17,11,4.67369,4.8551,20.9679
18,11,15.6015,15.72,4.58553
19,11,4.89227,27.3195,22.2726
20,11,6.00724,5.08618,5.09505
21,11,4.7633,4.19298,4.13849
22,11,7.75481,21.5545,15.5655
23,11,5.54938,4.75673,4.38805
24,11,15.8298,15.5613,16.9623
1,101,5799.6,5799.12,5800.67
2,101,2905.78,2906.61,2904.69
3,101,1937.06,1935.79,1935.7
4,101,1452.39,1452.24,1452.27
5,101,1173.02,1162.19,1163.06
6,101,968.575,968.871,968.967
7,101,829.797,831.159,831.927
8,101,726.687,725.942,726.653
9,101,645.882,645.419,646.922
10,101,581.118,580.945,582.234
11,101,530.261,529.861,528.855
12,101,485.45,484.78,484.575
13,101,447.453,447.734,447.151
14,101,415.895,416.551,416.336
15,101,387.811,388.109,387.676
16,101,365.597,364.487,363.867
17,101,342.196,342.728,343.119
18,101,325.523,323.227,323.511
19,101,307.181,308.357,306.269
20,101,292.252,291.579,292.84
21,101,280.202,279.095,277.063
22,101,264.446,265.43,264.848
23,101,254.139,255.145,253.431
24,101,245.086,244.027,244.507
/var/spool/pbs/aux/15068.192.168.10.5
