#threads,kernel_dim,iter1,iter2,iter3
1,11,66.6487,65.8626,66.1371
2,11,34.6525,32.6455,32.5892
3,11,22.0129,24.2259,22.1219
4,11,16.754,17.9057,16.7923
5,11,13.607,13.5952,13.6047
6,11,11.4825,11.4724,11.4824
7,11,9.97307,9.98884,9.96231
8,11,8.81942,8.83673,8.84031
9,11,7.92313,7.92286,7.92311
10,11,7.22952,7.22213,7.21871
11,11,6.64143,6.64174,6.64417
12,11,6.16294,6.16095,6.16148
13,11,5.75824,5.7659,5.76223
14,11,5.41247,5.41096,5.41211
15,11,5.13846,5.11253,5.11318
16,11,4.84969,4.85127,4.85401
17,11,4.62038,4.61929,4.64357
18,11,4.41623,4.41463,4.41448
19,11,4.22921,4.23216,4.22921
20,11,4.07123,4.08734,4.06459
21,11,3.91929,3.91479,3.91612
22,11,3.78162,3.78223,3.77881
23,11,3.66754,3.65857,3.65975
24,11,3.56402,3.55145,3.55153
1,101,5801.17,5800.35,5802.26
2,101,2904.59,2904.32,2904.33
3,101,1937.05,1937.28,1936.75
4,101,1451.74,1453.24,1452.02
5,101,1161.47,1162.87,1162.7
6,101,968.768,969.323,968.04
7,101,830.914,830.12,830.089
8,101,726.25,726.412,727.251
9,101,646.364,646.789,655.025
10,101,590.466,581.558,581.515
11,101,529.353,529.533,528.941
12,101,484.88,485.509,485.08
13,101,448.115,448.166,447.86
14,101,416.129,416.207,415.837
15,101,388.3,388.259,388.53
16,101,364.174,364.198,364.404
17,101,343.173,343.253,343.37
18,101,324.184,333.064,324.039
19,101,307.058,306.984,306.934
20,101,291.625,291.88,295.671
21,101,279.074,280.806,278.391
22,101,269.167,265.37,267.765
23,101,255.063,255.661,254.779
24,101,246.457,253.082,253.654
#threads,kernel_dim,iter1,iter2,iter3
1,11,68.6037,64.9358,75.2962
2,11,42.7954,33.3416,33.5087
3,11,22.7957,32.0473,53.0687
4,11,27.4814,27.0316,17.3444
5,11,24.1009,13.5501,13.6203
6,11,11.4303,11.4786,25.8181
7,11,10.7084,19.7354,19.5529
8,11,9.74945,20.9218,8.7922
9,11,17.3606,18.1739,7.87314
10,11,18.6386,20.8579,7.1802
11,11,16.5305,7.41378,7.54588
12,11,6.2301,6.21775,7.09591
13,11,6.50695,6.60704,6.65703
14,11,5.51267,5.47001,5.48081
15,11,5.13831,5.92526,5.90996
16,11,5.58921,4.87875,4.85996
17,11,4.62753,4.62797,4.62435
18,11,4.44369,4.42584,4.41338
19,11,4.22362,4.2277,4.22789
20,11,4.65968,4.12533,4.05817
21,11,3.90404,4.52,3.93941
22,11,3.77174,4.33848,3.8061
23,11,3.68494,3.64735,3.64874
24,11,3.54962,3.55785,3.54868
1,101,5797.58,5801.61,5800.47
2,101,2902.82,2901.9,2901.85
3,101,1935.9,1935,1934.99
4,101,1451.89,1451.63,1453.81
5,101,1172.68,1163.26,1162.83
6,101,970.282,970.175,969.845
7,101,831.522,831.829,831.483
8,101,727.484,727.514,727.46
9,101,646.577,646.037,646.319
10,101,581.54,581.761,582.311
11,101,529.471,529.182,528.982
12,101,485.06,485.026,485.189
13,101,448.119,448.67,447.746
14,101,416.034,416.036,416.298
15,101,388.342,388.399,388.004
16,101,364.214,364.421,364.002
17,101,342.926,343.142,342.904
18,101,324.022,323.739,323.619
19,101,306.857,306.716,306.831
20,101,291.65,291.837,291.986
21,101,278.184,280.55,277.98
22,101,265.465,265.331,265.277
23,101,253.982,254.076,254.079
24,101,244.729,244.51,244.572
/var/spool/pbs/aux/15067.192.168.10.5
