#threads,kernel_dim,iter1,iter2,iter3
1,11,2.68952,2.68458,2.68365
2,11,2.71895,2.72467,2.72403
3,11,2.75622,2.76079,2.75812
4,11,2.79357,2.80185,2.79648
5,11,2.83697,2.84377,2.83397
6,11,2.8605,2.86992,2.86301
7,11,2.89609,2.90719,2.91283
8,11,2.94394,2.95924,2.95586
9,11,2.98586,3.00076,2.98938
10,11,3.01492,3.0276,3.04099
11,11,3.06612,3.0753,3.05686
12,11,3.12632,3.11986,3.13105
13,11,3.65579,3.61509,3.41572
14,11,3.93474,3.8315,3.97372
15,11,4.5842,4.13101,4.45474
16,11,4.66776,4.7618,4.6778
17,11,4.75913,4.91969,4.47586
18,11,4.98651,5.01663,4.99869
19,11,5.10179,5.01281,5.01045
20,11,5.01611,5.20088,5.28536
21,11,5.27212,5.34374,5.33768
22,11,5.33135,5.54294,5.44559
23,11,5.67809,5.75124,5.40749
24,11,5.54471,5.64826,5.46681
1,101,241.698,241.837,241.982
2,101,241.866,242.021,242.036
3,101,241.855,242.301,242.794
4,101,242.093,242.429,242.479
5,101,241.893,242.486,242.633
6,101,241.866,242.428,242.375
7,101,242.226,243.122,242.795
8,101,242.133,242.894,242.872
9,101,242.049,193.726,459.159
10,101,242.63,244.236,244.563
11,101,242.35,243.344,243.673
12,101,244.091,245.385,247.137
13,101,256.034,257.022,254.173
14,101,263.641,265.837,264.756
15,101,278.115,280.348,283.03
16,101,242.499,243.54,242.751
17,101,242.428,243.676,28.6353
18,101,242.447,243.018,242.826
19,101,242.648,243.95,243.096
20,101,242.567,243.925,242.941
21,101,277.441,243.314,243.315
22,101,244.014,245.333,244.171
23,101,254.737,257.308,256.714
24,101,302.558,41.2324,39.5436
#threads,kernel_dim,iter1,iter2,iter3
1,11,4.14634,13.6807,8.1386
2,11,6.00039,14.3991,8.91972
3,11,6.2022,13.86,6.56157
4,11,8.66445,16.9822,6.44933
5,11,0.0344622,0.00214982,0.0020504
6,11,2.87,13.4396,5.6008
7,11,,,
8,11,9.50148,16.4867,4.97334
9,11,12.1307,3.09318,3.56011
10,11,10.6873,3.05982,18.8675
11,11,,,12.2843
12,11,7.03286,15.0053,4.92018
13,11,6.44211,14.893,4.91713
14,11,18.7764,4.78599,6.37498
15,11,9.48551,3.22405,19.416
16,11,7.5748,3.87337,6.34966
17,11,0.0640543,0.00301123,0.00262618
18,11,7.39284,1.63159,1.47297
19,11,31.5766,3.81538,3.3913
20,11,30.4617,3.78273,3.41291
21,11,3.43551,3.46034,3.44771
22,11,3.46968,3.51571,3.47597
23,11,3.51001,3.58401,3.58686
24,11,3.5557,3.59394,18.8247
1,101,241.688,241.706,241.7
2,101,241.774,241.832,241.821
3,101,241.84,241.864,241.849
4,101,241.861,241.927,241.937
5,101,241.889,242.029,242.149
6,101,242.142,242.048,242.301
7,101,242.108,242.268,242.312
8,101,242.226,242.189,242.162
9,101,242.052,242.473,242.212
10,101,242.343,242.512,242.568
11,101,242.251,242.458,242.645
12,101,242.391,242.499,242.809
13,101,242.395,242.83,242.96
14,101,242.343,242.795,242.985
15,101,284.187,242.593,242.621
16,101,275.976,242.528,242.538
17,101,259.557,242.613,242.589
18,101,318.751,242.591,242.646
19,101,243.253,243.145,247.426
20,101,267.405,267.558,270.286
21,101,298,297.137,293.361
22,101,317.558,313.263,327.238
23,101,332.222,333.365,335.19
24,101,358.957,358.232,348.88
#threads,kernel_dim,iter1,iter2,iter3
1,11,2.69185,2.6908,2.69114
2,11,2.72506,6.11131,1.43285
3,11,2.77127,2.78331,2.78666
4,11,2.81416,13.8675,2.88475
5,11,15.1033,2.97237,11.0632
6,11,2.89049,2.90693,2.89979
7,11,9.87599,3.01731,2.92351
8,11,8.00994,14.4341,2.30375
9,11,13.0528,3.10925,2.99937
10,11,12.0948,1.51856,1.2271
11,11,3.0422,3.08564,3.07885
12,11,25.2445,3.5084,3.1309
13,11,1.9893,1.23039,1.22334
14,11,3.16196,3.20322,3.20212
15,11,12.5724,3.34944,3.22769
16,11,,,
17,11,3.26632,3.364,3.3334
18,11,41.3972,3.9007,4.1232
19,11,9.80028,1.35476,14.5417
20,11,13.2443,18.5107,24.9323
21,11,14.219,4.22838,6.34646
22,11,14.4506,12.1165,17.2726
23,11,18.4288,26.7768,13.4848
24,11,12.8975,23.3939,21.4427
1,101,245.031,3627.13,1208.97
2,101,242.013,847.376,968.544
3,101,241.796,807.723,887.472
4,101,248.346,242.061,786.436
5,101,241.998,726.65,726.043
6,101,241.994,686.072,727.25
7,101,242.049,242.445,692.983
8,101,258.498,242.305,667.04
9,101,242.214,242.316,647.228
10,101,242.459,242.951,242.651
11,101,242.424,242.898,242.558
12,101,242.223,243.132,242.538
13,101,242.424,243.274,242.504
14,101,242.363,243.303,242.592
15,101,242.408,243.572,242.774
16,101,242.491,243.453,242.788
17,101,242.554,244.075,243.07
18,101,242.613,243.761,242.98
19,101,242.58,244.149,243.209
20,101,242.608,244.177,243.085
21,101,242.75,243.791,243.089
22,101,242.622,244.153,243.156
23,101,242.818,244.571,243.438
24,101,244.599,245.947,
